name,age,past preferences,location,Diet,Instructions,weather,marital status,preference 1,preference 2,time,state,prefered food item
Maya_19,35,Home Style,Coimbatore,Eggetarian,Prepare according to authentic family recipe,Hot,Single,Regional Specialties,North Indian,16:50,Tamil Nadu,Kachori
Aisha_20,65,Street Food,Mysore,Eggetarian,Prepare according to authentic family recipe,Hot,Married,South Indian,Regional Specialties,06:05,Karnataka,Masala Dosa
Dev_21,59,Sweet,Amritsar,Jain,Modified recipe with health-conscious ingredients,Cold,Married,Spicy,Home Style,08:39,Punjab,Paratha
Riya_22,39,Healthy,Mysore,Eggetarian,Prepare according to authentic family recipe,Hot,Single,Traditional,Healthy,19:19,Karnataka,Khichdi
Aditya_23,45,Restaurant Style,Kolkata,No Restrictions,Prepare according to authentic family recipe,Hot,Single,North Indian,Spicy,04:21,West Bengal,Fish Curry
Neha_24,46,Restaurant Style,Kochi,Vegetarian,Prepare according to authentic family recipe,Rainy,Married,Traditional,Spicy,01:11,Kerala,Roti Sabzi
Aisha_25,54,Home Style,Nagpur,No Restrictions,Modified recipe with health-conscious ingredients,Hot,Married,Home Style,Mild,23:45,Maharashtra,Khichdi
Aarav_26,59,Fusion,Bangalore,Eggetarian,Prepare according to authentic family recipe,Hot,Single,Home Style,Sweet,00:19,Karnataka,Roti Sabzi
Priya_27,39,Healthy,Thiruvananthapuram,Vegan,Prepare according to authentic family recipe,Hot,Married,Home Style,Regional Specialties,15:31,Kerala,Sambar Rice
Priya_28,72,Healthy,Mumbai,No Restrictions,Prepare according to authentic family recipe,Hot,Married,Traditional,Restaurant Style,06:52,Maharashtra,Vada Pav
Rahul_29,66,Spicy,Ahmedabad,No Restrictions,Modified recipe with health-conscious ingredients,Cold,Single,Sweet,Restaurant Style,08:00,Gujarat,Vada Pav
Arjun_30,25,Healthy,New Delhi,Vegetarian (No Onion-Garlic),Simplified preparation for busy schedules,Hot,Single,Home Style,Sweet,15:51,Delhi,Thali
Dev_31,18,Mild,Nagpur,Non-Vegetarian,Contemporary twist on classic recipe,Rainy,Single,Mild,Fusion,22:55,Maharashtra,Pulao
Zara_32,36,Home Style,Thiruvananthapuram,Jain,Prepare according to authentic family recipe,Hot,Married,Spicy,Street Food,11:45,Kerala,Sambar Rice
Anjali_33,18,South Indian,Amritsar,Vegetarian (No Onion-Garlic),Simplified preparation for busy schedules,Hot,Single,Street Food,Restaurant Style,04:38,Punjab,Butter Chicken
Riya_34,55,Restaurant Style,Nagpur,Non-Vegetarian,Prepare according to authentic family recipe,Cold,Single,Sweet,Street Food,22:19,Maharashtra,Paneer Dishes
Maya_35,60,Spicy,Chennai,Vegetarian,Modified recipe with health-conscious ingredients,Cold,Married,Restaurant Style,Home Style,02:19,Tamil Nadu,Roti Sabzi
Aisha_36,48,Street Food,Surat,Jain,Rich and indulgent preparation,Hot,Married,Traditional,South Indian,20:15,Gujarat,Khichdi
Aditya_37,70,Restaurant Style,Nagpur,Vegetarian (No Onion-Garlic),Modified recipe with health-conscious ingredients,Hot,Single,Street Food,Mild,12:04,Maharashtra,Kadhi Chawal
Arjun_38,64,Regional Specialties,Mumbai,Eggetarian,Prepare according to authentic family recipe,Hot,Married,Mild,Traditional,02:39,Maharashtra,Paneer Dishes
Dev_39,52,Regional Specialties,Bangalore,Non-Vegetarian,Modified recipe with health-conscious ingredients,Cold,Married,Spicy,Street Food,01:20,Karnataka,Butter Chicken
Arjun_40,45,Healthy,Kochi,Vegan,Prepare according to authentic family recipe,Cold,Married,Regional Specialties,Fusion,12:33,Kerala,Sambar Rice
Arjun_41,20,Regional Specialties,Kolkata,Vegan,Simplified preparation for busy schedules,Hot,Single,North Indian,Fusion,10:48,West Bengal,Chole Bhature
Riya_42,53,Home Style,New Delhi,No Restrictions,Modified recipe with health-conscious ingredients,Hot,Married,Fusion,Regional Specialties,22:37,Delhi,Butter Chicken
Anjali_43,54,Restaurant Style,New Delhi,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Rainy,Married,Sweet,Street Food,11:57,Delhi,Thali
Anjali_44,47,Street Food,Siliguri,Vegetarian,Prepare according to authentic family recipe,Hot,Single,Sweet,South Indian,19:49,West Bengal,Khichdi
Vihan_45,46,South Indian,Pune,Non-Vegetarian,Prepare according to authentic family recipe,Cold,Married,Regional Specialties,Street Food,01:08,Maharashtra,Fish Curry
Dev_46,54,Spicy,Ahmedabad,No Restrictions,Modified recipe with health-conscious ingredients,Hot,Married,Healthy,Street Food,14:05,Gujarat,Thali
Neha_47,37,Fusion,Amritsar,Vegetarian,Prepare according to authentic family recipe,Hot,Single,Sweet,Spicy,13:30,Punjab,Rajma Chawal
Diya_48,20,Traditional,Delhi NCR,Vegan,Simplified preparation for busy schedules,Rainy,Single,Home Style,Spicy,16:40,Delhi,Chaat
Anjali_49,55,Healthy,Mysore,Vegan,Modified recipe with health-conscious ingredients,Hot,Married,Spicy,Regional Specialties,02:33,Karnataka,Paneer Dishes
Neha_50,36,Spicy,Mumbai,Vegan,Prepare according to authentic family recipe,Hot,Married,Restaurant Style,North Indian,12:32,Maharashtra,Thali
Aisha_51,22,Spicy,Delhi NCR,Eggetarian,Simplified preparation for busy schedules,Cold,Single,Healthy,Spicy,11:23,Delhi,Fish Curry Rice
Krishna_52,58,Sweet,Siliguri,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Hot,Married,Spicy,Restaurant Style,19:25,West Bengal,Fish Curry
Anjali_53,34,North Indian,Delhi NCR,Jain,Prepare according to authentic family recipe,Cold,Married,Home Style,Mild,18:00,Delhi,Samosa
Krishna_54,40,Fusion,Bangalore,Vegetarian (No Onion-Garlic),Rich and indulgent preparation,Hot,Married,Sweet,Healthy,02:15,Karnataka,Pulao
Anjali_55,48,Regional Specialties,Kolkata,No Restrictions,Rich and indulgent preparation,Hot,Married,Healthy,South Indian,12:07,West Bengal,Biryani
Priya_56,47,Fusion,Kochi,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Rainy,Married,Fusion,North Indian,01:55,Kerala,Fish Curry
Maya_57,73,Home Style,Kochi,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Cold,Married,Home Style,Traditional,15:45,Kerala,Sambar Rice
Neha_58,50,South Indian,Ahmedabad,Vegan,Prepare according to authentic family recipe,Rainy,Married,Sweet,North Indian,12:55,Gujarat,Thali
Priya_59,47,North Indian,Thiruvananthapuram,Vegetarian,Rich and indulgent preparation,Cold,Married,Regional Specialties,Healthy,22:59,Kerala,Khichdi
Riya_60,27,Fusion,Mumbai,Vegan,Contemporary twist on classic recipe,Hot,Married,Street Food,Restaurant Style,00:07,Maharashtra,Paneer Dishes
Dev_61,55,Street Food,Bangalore,No Restrictions,Prepare according to authentic family recipe,Hot,Married,Healthy,Mild,22:51,Karnataka,Paneer Dishes
Vihan_62,75,Fusion,Mumbai,Vegetarian (No Onion-Garlic),Modified recipe with health-conscious ingredients,Hot,Married,Restaurant Style,Sweet,23:13,Maharashtra,Khichdi
Arjun_63,62,Mild,Pune,Eggetarian,Modified recipe with health-conscious ingredients,Cold,Married,Home Style,Traditional,15:07,Maharashtra,Dal Rice
Vihan_64,54,North Indian,Coimbatore,Eggetarian,Prepare according to authentic family recipe,Cold,Single,Spicy,North Indian,13:27,Tamil Nadu,Sambar Rice
Arjun_65,20,North Indian,Thiruvananthapuram,Vegetarian,Contemporary twist on classic recipe,Hot,Single,Healthy,Fusion,00:57,Kerala,Khichdi
Priya_66,55,Mild,Chennai,Non-Vegetarian,Modified recipe with health-conscious ingredients,Rainy,Single,South Indian,Home Style,00:48,Tamil Nadu,Fish Curry
Aisha_67,48,Sweet,Kochi,Vegan,Prepare according to authentic family recipe,Hot,Married,North Indian,Home Style,20:57,Kerala,Pulao
Rahul_68,19,North Indian,Kolkata,Eggetarian,Contemporary twist on classic recipe,Hot,Single,Sweet,Fusion,02:30,West Bengal,Khichdi
Arjun_69,26,Healthy,Ahmedabad,Jain,Contemporary twist on classic recipe,Hot,Married,Traditional,North Indian,20:49,Gujarat,Khichdi
Riya_70,71,Street Food,Coimbatore,Vegetarian (No Onion-Garlic),Modified recipe with health-conscious ingredients,Cold,Married,North Indian,Spicy,06:25,Tamil Nadu,Idli Sambar
Vihan_71,24,North Indian,Chandigarh,No Restrictions,Contemporary twist on classic recipe,Hot,Single,Spicy,Sweet,02:25,Punjab,Butter Chicken
Riya_72,37,Mild,Coimbatore,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Hot,Single,Healthy,Mild,13:37,Tamil Nadu,Sambar Rice
Dev_73,62,Home Style,Surat,Vegan,Modified recipe with health-conscious ingredients,Rainy,Single,Regional Specialties,Traditional,07:02,Gujarat,Upma
Zara_74,75,South Indian,Surat,Vegan,Modified recipe with health-conscious ingredients,Hot,Married,Regional Specialties,Home Style,06:26,Gujarat,Misal Pav
Neha_75,32,Healthy,Kolkata,Jain,Rich and indulgent preparation,Hot,Single,Street Food,Regional Specialties,07:22,West Bengal,Upma
Anjali_76,25,Traditional,Pune,Vegetarian,Simplified preparation for busy schedules,Cold,Single,Restaurant Style,Traditional,11:44,Maharashtra,Rajma Chawal
Maya_77,37,Street Food,Mumbai,Non-Vegetarian,Prepare according to authentic family recipe,Cold,Married,Traditional,South Indian,21:05,Maharashtra,Butter Chicken
Neha_78,23,Healthy,Siliguri,Non-Vegetarian,Simplified preparation for busy schedules,Cold,Single,Regional Specialties,Street Food,23:24,West Bengal,Khichdi
Priya_79,55,Regional Specialties,Bangalore,Vegan,Prepare according to authentic family recipe,Rainy,Married,North Indian,Home Style,09:32,Karnataka,Upma
Maya_80,42,Restaurant Style,Kochi,No Restrictions,Prepare according to authentic family recipe,Hot,Married,Mild,North Indian,17:39,Kerala,Pakora
Rahul_81,63,Home Style,Chandigarh,Vegan,Prepare according to authentic family recipe,Rainy,Married,Mild,Restaurant Style,22:03,Punjab,Khichdi
Arjun_82,25,Healthy,New Delhi,Eggetarian,Contemporary twist on classic recipe,Hot,Single,Regional Specialties,Street Food,21:12,Delhi,Butter Chicken
Dev_83,34,South Indian,Mumbai,No Restrictions,Rich and indulgent preparation,Cold,Single,Restaurant Style,Regional Specialties,01:50,Maharashtra,Butter Chicken
Anjali_84,57,South Indian,Kolkata,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Hot,Single,North Indian,Regional Specialties,02:27,West Bengal,Fish Curry
Riya_85,75,Mild,Bangalore,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Hot,Single,South Indian,Healthy,13:49,Karnataka,Fish Curry Rice
Diya_86,45,Regional Specialties,Surat,Vegetarian (No Onion-Garlic),Rich and indulgent preparation,Rainy,Married,Restaurant Style,Fusion,22:39,Gujarat,Khichdi
Maya_87,66,Street Food,Kolkata,Vegan,Prepare according to authentic family recipe,Hot,Married,Restaurant Style,Spicy,21:04,West Bengal,Khichdi
Anjali_88,46,Spicy,Delhi NCR,Vegetarian (No Onion-Garlic),Rich and indulgent preparation,Hot,Married,North Indian,Healthy,01:24,Delhi,Butter Chicken
Aarav_89,40,Home Style,Kolkata,Vegan,Prepare according to authentic family recipe,Cold,Married,Street Food,Mild,12:28,West Bengal,Biryani
Vikram_90,49,Street Food,Pune,Vegetarian,Prepare according to authentic family recipe,Hot,Married,Street Food,Restaurant Style,12:34,Maharashtra,Rajma Chawal
Dev_91,40,Healthy,Surat,Vegetarian (No Onion-Garlic),Rich and indulgent preparation,Hot,Married,Street Food,Home Style,20:16,Gujarat,Khichdi
Anjali_92,19,North Indian,Mysore,Vegetarian,Contemporary twist on classic recipe,Rainy,Single,Sweet,Street Food,07:24,Karnataka,Masala Dosa
Krishna_93,51,Fusion,Amritsar,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Hot,Single,Mild,Traditional,18:49,Punjab,Samosa
Vihan_94,69,Traditional,New Delhi,Vegetarian,Modified recipe with health-conscious ingredients,Hot,Married,Street Food,Regional Specialties,10:14,Delhi,Paratha
Priya_95,62,North Indian,Chennai,No Restrictions,Prepare according to authentic family recipe,Hot,Single,Mild,North Indian,12:41,Tamil Nadu,Sambar Rice
Diya_96,19,Restaurant Style,Bangalore,Non-Vegetarian,Contemporary twist on classic recipe,Hot,Single,South Indian,Restaurant Style,20:09,Karnataka,Butter Chicken
Dev_97,32,Mild,Thiruvananthapuram,Vegan,Prepare according to authentic family recipe,Hot,Single,Sweet,Home Style,11:21,Kerala,Sambar Rice
Aditya_98,48,Street Food,Delhi NCR,Vegan,Prepare according to authentic family recipe,Rainy,Married,Traditional,Fusion,23:50,Delhi,Paneer Dishes
Priya_99,45,Mild,Nagpur,Non-Vegetarian,Prepare according to authentic family recipe,Hot,Married,Restaurant Style,Home Style,19:33,Maharashtra,Butter Chicken
Aisha_100,47,Fusion,Ahmedabad,No Restrictions,Rich and indulgent preparation,Hot,Single,Restaurant Style,Home Style,15:09,Gujarat,Thali
Diya_101,32,Mild,Pune,Jain,Prepare according to authentic family recipe,Cold,Married,Mild,Healthy,09:37,Maharashtra,Misal Pav
Krishna_102,27,Healthy,Siliguri,Jain,Simplified preparation for busy schedules,Hot,Single,North Indian,Mild,14:36,West Bengal,Biryani
Vikram_103,58,Mild,Chennai,Vegetarian (No Onion-Garlic),Modified recipe with health-conscious ingredients,Cold,Married,South Indian,Sweet,21:16,Tamil Nadu,Butter Chicken
Anjali_104,52,Healthy,Coimbatore,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Hot,Single,Regional Specialties,Spicy,16:33,Tamil Nadu,Kachori
Arjun_105,59,Fusion,New Delhi,Vegan,Modified recipe with health-conscious ingredients,Cold,Married,Traditional,Home Style,11:29,Delhi,Rajma Chawal
Aditya_106,19,Traditional,Kolkata,Vegetarian,Contemporary twist on classic recipe,Rainy,Single,Sweet,Spicy,07:28,West Bengal,Upma
Riya_107,62,Mild,Kochi,Eggetarian,Modified recipe with health-conscious ingredients,Hot,Married,South Indian,Mild,13:50,Kerala,Sambar Rice
Aarav_108,49,Mild,Kochi,No Restrictions,Prepare according to authentic family recipe,Rainy,Married,Spicy,Restaurant Style,00:41,Kerala,Fish Curry
Dev_109,23,Sweet,Pune,Non-Vegetarian,Simplified preparation for busy schedules,Hot,Single,South Indian,Street Food,00:34,Maharashtra,Khichdi
Riya_110,48,Home Style,Amritsar,Non-Vegetarian,Prepare according to authentic family recipe,Hot,Married,Healthy,Street Food,05:56,Punjab,Butter Chicken
Aditya_111,18,Street Food,New Delhi,Non-Vegetarian,Simplified preparation for busy schedules,Hot,Single,Healthy,Regional Specialties,16:25,Delhi,Chaat
Aisha_112,23,Traditional,Surat,Vegetarian (No Onion-Garlic),Simplified preparation for busy schedules,Rainy,Single,Healthy,Fusion,04:52,Gujarat,Khichdi
Maya_113,22,Traditional,Thiruvananthapuram,No Restrictions,Simplified preparation for busy schedules,Rainy,Single,Sweet,Home Style,21:49,Kerala,Fish Curry
Riya_114,27,Sweet,Chandigarh,Vegan,Simplified preparation for busy schedules,Hot,Married,Regional Specialties,Restaurant Style,17:47,Punjab,Bhel Puri
Vihan_115,63,Healthy,Siliguri,Jain,Prepare according to authentic family recipe,Cold,Married,Home Style,Sweet,07:49,West Bengal,Upma
Riya_116,26,Street Food,Bangalore,Vegetarian (No Onion-Garlic),Simplified preparation for busy schedules,Hot,Single,South Indian,Mild,00:39,Karnataka,Roti Sabzi
Priya_117,50,Sweet,Pune,Vegan,Prepare according to authentic family recipe,Hot,Single,Home Style,Healthy,03:40,Maharashtra,Roti Sabzi
Diya_118,27,Fusion,Coimbatore,Eggetarian,Contemporary twist on classic recipe,Hot,Married,Traditional,North Indian,09:56,Tamil Nadu,Idli Sambar
Krishna_119,30,Regional Specialties,Pune,Jain,Rich and indulgent preparation,Hot,Married,South Indian,Mild,00:52,Maharashtra,Dal Makhani
Zara_120,39,Traditional,Mysore,Vegan,Rich and indulgent preparation,Cold,Single,Regional Specialties,Mild,07:07,Karnataka,Masala Dosa
Rahul_121,48,Home Style,Coimbatore,Eggetarian,Prepare according to authentic family recipe,Rainy,Married,South Indian,Street Food,20:27,Tamil Nadu,Pulao
Vihan_122,64,Healthy,Chennai,No Restrictions,Prepare according to authentic family recipe,Hot,Married,Street Food,Home Style,03:30,Tamil Nadu,Butter Chicken
Neha_123,23,Fusion,Amritsar,No Restrictions,Simplified preparation for busy schedules,Rainy,Single,Street Food,Traditional,03:31,Punjab,Butter Chicken
Aarav_124,51,Street Food,Siliguri,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Cold,Single,Fusion,South Indian,06:03,West Bengal,Idli Sambar
Rahul_125,57,Healthy,Kolkata,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Hot,Married,Home Style,Traditional,20:19,West Bengal,Khichdi
Zara_126,22,Fusion,Chandigarh,Jain,Contemporary twist on classic recipe,Hot,Single,Mild,Spicy,12:13,Punjab,Rajma Chawal
Arjun_127,43,Regional Specialties,Kochi,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Rainy,Married,Mild,Traditional,16:31,Kerala,Bhel Puri
Priya_128,41,North Indian,Delhi NCR,Eggetarian,Rich and indulgent preparation,Hot,Married,Regional Specialties,Home Style,02:16,Delhi,Butter Chicken
Dev_129,28,Home Style,Amritsar,No Restrictions,Contemporary twist on classic recipe,Cold,Single,Street Food,Fusion,05:59,Punjab,Butter Chicken
Dev_130,49,Sweet,Coimbatore,Vegetarian (No Onion-Garlic),Rich and indulgent preparation,Rainy,Married,Regional Specialties,Mild,22:52,Tamil Nadu,Pulao
Dev_131,57,Traditional,Chennai,Jain,Prepare according to authentic family recipe,Hot,Single,Restaurant Style,Regional Specialties,04:34,Tamil Nadu,Dal Makhani
Zara_132,60,Restaurant Style,Kochi,Vegetarian (No Onion-Garlic),Modified recipe with health-conscious ingredients,Rainy,Single,Fusion,Home Style,08:10,Kerala,Poha
Rahul_133,36,North Indian,Amritsar,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Hot,Married,Sweet,Spicy,19:23,Punjab,Butter Chicken
Anjali_134,70,Healthy,Kochi,Jain,Prepare according to authentic family recipe,Hot,Single,Mild,Sweet,16:55,Kerala,Kachori
Neha_135,26,Traditional,Siliguri,Vegetarian (No Onion-Garlic),Simplified preparation for busy schedules,Hot,Married,Fusion,Street Food,23:55,West Bengal,Fish Curry
Anjali_136,26,Mild,Kolkata,Vegetarian,Simplified preparation for busy schedules,Hot,Married,Restaurant Style,South Indian,16:47,West Bengal,Samosa
Diya_137,27,Mild,Coimbatore,No Restrictions,Contemporary twist on classic recipe,Hot,Single,Sweet,Regional Specialties,16:30,Tamil Nadu,Kachori
Aarav_138,32,Street Food,Amritsar,Vegan,Prepare according to authentic family recipe,Hot,Married,Fusion,Restaurant Style,20:05,Punjab,Pulao
Zara_139,62,Fusion,Chandigarh,No Restrictions,Prepare according to authentic family recipe,Cold,Married,Fusion,Traditional,18:45,Punjab,Samosa
Priya_140,32,Spicy,Mumbai,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Hot,Married,Traditional,Mild,14:08,Maharashtra,Sambar Rice
Riya_141,58,Spicy,Coimbatore,Eggetarian,Modified recipe with health-conscious ingredients,Cold,Married,Fusion,South Indian,13:38,Tamil Nadu,Sambar Rice
Riya_142,53,South Indian,Pune,No Restrictions,Modified recipe with health-conscious ingredients,Hot,Married,Spicy,Regional Specialties,05:07,Maharashtra,Dal Makhani
Zara_143,51,Traditional,Amritsar,Vegan,Prepare according to authentic family recipe,Cold,Married,South Indian,Fusion,21:30,Punjab,Paneer Dishes
Priya_144,70,Fusion,Surat,Eggetarian,Prepare according to authentic family recipe,Hot,Single,Restaurant Style,Street Food,06:11,Gujarat,Upma
Krishna_145,24,Street Food,Coimbatore,No Restrictions,Simplified preparation for busy schedules,Hot,Single,Sweet,Regional Specialties,01:32,Tamil Nadu,Pulao
Krishna_146,35,North Indian,Thiruvananthapuram,Vegetarian (No Onion-Garlic),Rich and indulgent preparation,Rainy,Married,Traditional,Regional Specialties,12:22,Kerala,Sambar Rice
Vihan_147,61,Fusion,New Delhi,Vegan,Modified recipe with health-conscious ingredients,Cold,Married,Regional Specialties,Mild,22:04,Delhi,Paneer Dishes
Vihan_148,57,Mild,Kolkata,Vegetarian,Prepare according to authentic family recipe,Hot,Single,Healthy,Fusion,11:20,West Bengal,Biryani
Aisha_149,35,Regional Specialties,Coimbatore,Vegetarian,Prepare according to authentic family recipe,Hot,Married,Mild,Healthy,04:51,Tamil Nadu,Pulao
Aditya_150,40,Traditional,Mysore,Non-Vegetarian,Prepare according to authentic family recipe,Rainy,Married,Traditional,Fusion,15:23,Karnataka,Kadhi Chawal
Aisha_151,28,Spicy,Ahmedabad,Vegetarian,Simplified preparation for busy schedules,Hot,Married,Restaurant Style,Sweet,08:27,Gujarat,Masala Dosa
Neha_152,23,South Indian,Thiruvananthapuram,Eggetarian,Simplified preparation for busy schedules,Hot,Single,Fusion,Street Food,07:09,Kerala,Idli Sambar
Krishna_153,21,Healthy,Kochi,Vegan,Contemporary twist on classic recipe,Hot,Single,North Indian,Fusion,06:52,Kerala,Poha
Diya_154,35,South Indian,Ahmedabad,Non-Vegetarian,Prepare according to authentic family recipe,Rainy,Married,North Indian,Sweet,04:38,Gujarat,Khichdi
Aditya_155,75,Fusion,Chandigarh,Vegan,Prepare according to authentic family recipe,Rainy,Married,Traditional,Restaurant Style,08:42,Punjab,Paratha
Riya_156,64,Street Food,Amritsar,Non-Vegetarian,Prepare according to authentic family recipe,Hot,Married,Home Style,Spicy,09:07,Punjab,Paratha
Krishna_157,31,Home Style,Amritsar,Eggetarian,Rich and indulgent preparation,Rainy,Single,North Indian,Traditional,17:24,Punjab,Pakora
Rahul_158,20,Healthy,Surat,Vegetarian,Contemporary twist on classic recipe,Hot,Single,Healthy,Spicy,10:22,Gujarat,Idli Sambar
Vihan_159,53,Regional Specialties,Bangalore,Vegan,Modified recipe with health-conscious ingredients,Hot,Married,Sweet,Home Style,18:40,Karnataka,Chaat
Aisha_160,54,Fusion,Mumbai,Vegan,Prepare according to authentic family recipe,Cold,Single,Restaurant Style,Traditional,09:55,Maharashtra,Poha
Maya_161,40,South Indian,Chennai,Vegetarian,Prepare according to authentic family recipe,Cold,Married,Mild,South Indian,12:56,Tamil Nadu,Sambar Rice
Krishna_162,66,Regional Specialties,Coimbatore,Jain,Modified recipe with health-conscious ingredients,Hot,Married,Healthy,Restaurant Style,11:45,Tamil Nadu,Sambar Rice
Anjali_163,67,Healthy,Delhi NCR,No Restrictions,Modified recipe with health-conscious ingredients,Rainy,Married,Traditional,Spicy,08:02,Delhi,Paratha
Riya_164,27,Traditional,Mumbai,Non-Vegetarian,Simplified preparation for busy schedules,Rainy,Married,Street Food,North Indian,11:15,Maharashtra,Rajma Chawal
Aisha_165,73,South Indian,Mumbai,Eggetarian,Modified recipe with health-conscious ingredients,Hot,Single,North Indian,South Indian,06:20,Maharashtra,Misal Pav
Vikram_166,71,Healthy,Kochi,No Restrictions,Modified recipe with health-conscious ingredients,Rainy,Married,Sweet,Spicy,19:53,Kerala,Fish Curry
Aisha_167,73,Restaurant Style,New Delhi,Non-Vegetarian,Modified recipe with health-conscious ingredients,Rainy,Married,Traditional,Restaurant Style,16:50,Delhi,Pakora
Diya_168,20,Sweet,New Delhi,Eggetarian,Contemporary twist on classic recipe,Hot,Single,Sweet,South Indian,23:17,Delhi,Butter Chicken
Anjali_169,40,South Indian,Nagpur,Jain,Prepare according to authentic family recipe,Hot,Married,Traditional,Street Food,15:33,Maharashtra,Biryani
Aarav_170,60,Spicy,Kochi,Eggetarian,Modified recipe with health-conscious ingredients,Rainy,Married,Spicy,Fusion,20:44,Kerala,Fish Curry
Maya_171,71,Fusion,Delhi NCR,Vegetarian,Prepare according to authentic family recipe,Hot,Single,Home Style,Fusion,08:52,Delhi,Paratha
Vihan_172,38,South Indian,Chennai,Non-Vegetarian,Prepare according to authentic family recipe,Hot,Single,Sweet,North Indian,10:12,Tamil Nadu,Idli Sambar
Aditya_173,62,Healthy,Siliguri,Non-Vegetarian,Modified recipe with health-conscious ingredients,Hot,Married,North Indian,Fusion,02:39,West Bengal,Khichdi
Priya_174,50,Spicy,Delhi NCR,Eggetarian,Prepare according to authentic family recipe,Hot,Single,Spicy,Healthy,11:25,Delhi,Thali
Aisha_175,55,South Indian,Bangalore,Non-Vegetarian,Modified recipe with health-conscious ingredients,Hot,Single,Healthy,South Indian,10:57,Karnataka,Idli Sambar
Vikram_176,25,Home Style,Delhi NCR,Vegetarian (No Onion-Garlic),Simplified preparation for busy schedules,Hot,Single,Sweet,Street Food,19:54,Delhi,Butter Chicken
